Entity ID,Entity,Latitude,Longitude,State (US & Canada only),Alt. 1,City,Government Affiliated?,Designer,Developer,Utility,Country of Origin,Technology Type,Funding Amount ($MM USD),Design Count,Source,Projects,Project Source,Additional Funds (USD millions)
101,National Nuclear Energy Agency (BATAN),-6.31,106.64,,,South Tangerang,,Yes,,,Indonesia,Fission,0,0,https://aris.iaea.org/Publications/SMR_Book_2020.pdf,,,
102,National Research and Innovatoin Agency (BRIN),,,,,,,Yes,,,Indonesia,Fission,0,0,,,,
74,IRIS Consortium,40.44,-79.85,,,Pittsburgh,,Yes,,,International Consortium,Pressurized Light Water Reactor,0,1,https://www.nrc.gov/docs/ML0336/ML033600086.pdf,,,
7,Ansaldo Nucleare,,,,,,,Yes,,,Italy,"Fusion, Gen IV, SMR, radwaste management",0,2,,,,
44,Enel,,,,,,,,,Yes,Italy,Gen IV,0,0,,,,
35,CRIEPI,,,,,,,Yes,,,Japan,Light Water Reactor,0,1,,,,
73,International Thorium Molten-Salt Forum,35.70,139.75,,,Tokyo,,Yes,,,Japan,Molten Salt Reactor,0,1,https://aris.iaea.org/PDF/MSR-FUJI.pdf,,,
76,Japan Atomic Energy Agency (JAEA),35.03,136.90,,,Tokai,,Yes,,,Japan,High Temperature Gas-Cooled; Sodium Fast Reactor,0,3,https://aris.iaea.org/PDF/GTHTR300C.pdf,,,
95,Mitsubishi Heavy Industries (MHI),35.71,139.77,,,Tokyo,,Yes,,,Japan,Water-Cooled,0,2,https://aris.iaea.org/PDF/IMR.pdf,,,
159,Toshiba Energy Systems and Solutions Corporation,,,,,,,,,,Japan,"Plant Integrated Analysis, Underwater Robot, RPV Mockup Test Tank",0,0,,,,
137,SNERDI/CNNC,32.39,71.45,,,,,,,,Pakistan & China,"Pressurized Water Reactor, Advanced Pressurized Water Reactor, Heavy Water Reactor, Fast Breeder Reactor",0,1,https://aris.iaea.org/Publications/SMR-Book_2018.pdf,,,
4,Afrikantov OKBM,56.24,43.99,,,Nizhny Novgorod,,Yes,,,Russia,Water-Cooled; High Temperature Gas-Cooled,0,8,https://aris.iaea.org/Publications/SMR-Book_2018.pdf,,,
43,En+ Group,,,,,,,Yes,,,Russia,Liquid Metal-Cooled Fast Reactor,0,1,https://enplusgroup.com/en/sustainability/innovations/,,,
78,"JSC ""AKME-engineering""",55.75,37.62,,,Moscow,,Yes,,,Russia,Liquid Metal-Cooled Fast Reactor,0,2,https://aris.iaea.org/PDF/SVBR-100.pdf,,,
103,"National Research Centre ""Kurachov Institute"" (ELENA)",55.80,37.48,,,Moscow,,Yes,,,Russia,Microreactor,0,1,https://aris.iaea.org/Publications/SMR-Book_2018.pdf,,,
104,National Research Centre (NRC) Kurchatov Institute,,,,,,Yes,Yes,,,Russia,Fast Neutron Reactor,0,0,,,,
107,NIKIET,55.79,37.61,,,Moscow,,Yes,,,Russia,Liquid Metal-Cooled Fast Reactor; Water-Cooled; Microreactor,0,7,https://aris.iaea.org/PDF/BREST-OD-300.pdf,,,
169,Ural Division of Teploelektroproekt,66.05,157.94,,,Bilibino,,,,,Russia,Water Cooled,0,1,https://www.world-nuclear.org/information-library/nuclear-fuel-cycle/nuclear-power-reactors/small-nuclear-power-reactors.aspx,,,
84,King Abdullah City for Atomic and Nuclear Energy (K.A. CARE),,,,,,Yes,Yes,,,Saudi Arabia,HTGR reactors and SMART technology reactors,0,0,,,,
47,Eskom Holdings SOC,-26.03,28.06,,,Sandton,,Yes,,,South Africa,High Temperature Gas-Cooled,0,1,https://aris.iaea.org/Publications/SMR-Book_2018.pdf,,,
79,KAERI,37.57,126.97,,,,,Yes,,,South Korea,"Marine Reactor, High Temperature Gas Cooled Reactor",0,2,https://aris.iaea.org/PDF/PGSFR.pdf,,,
